Key,Title,Description
2010JJ00,2010,
2011MM01,2011 January,
2011MM02,2011 February,
2011MM03,2011 March,
2011KW01,2011 1st quarter,
2011MM04,2011 April,
2011MM05,2011 May,
2011MM06,2011 June,
2011KW02,2011 2nd quarter,
2011MM07,2011 July,
2011MM08,2011 August,
2011MM09,2011 September,
2011KW03,2011 3rd quarter,
2011MM10,2011 October,
2011MM11,2011 November,
2011MM12,2011 December,
2011KW04,2011 4th quarter,
2011JJ00,2011,
2012MM01,2012 January,
2012MM02,2012 February,
2012MM03,2012 March,
2012KW01,2012 1st quarter,
2012MM04,2012 April,
2012MM05,2012 May,
2012MM06,2012 June,
2012KW02,2012 2nd quarter,
2012MM07,2012 July,
2012MM08,2012 August,
2012MM09,2012 September,
2012KW03,2012 3rd quarter,
2012MM10,2012 October,
2012MM11,2012 November,
2012MM12,2012 December,
2012KW04,2012 4th quarter,
2012JJ00,2012,
2013MM01,2013 January,
2013MM02,2013 February,
2013MM03,2013 March,
2013KW01,2013 1st quarter,
2013MM04,2013 April,
2013MM05,2013 May,
2013MM06,2013 June,
2013KW02,2013 2nd quarter,
2013MM07,2013 July,
2013MM08,2013 August,
2013MM09,2013 September,
2013KW03,2013 3rd quarter,
2013MM10,2013 October,
2013MM11,2013 November,
2013MM12,2013 December,
2013KW04,2013 4th quarter,
2013JJ00,2013,
2014MM01,2014 January,
2014MM02,2014 February,
2014MM03,2014 March,
2014KW01,2014 1st quarter,
2014MM04,2014 April,
2014MM05,2014 May,
2014MM06,2014 June,
2014KW02,2014 2nd quarter,
2014MM07,2014 July,
2014MM08,2014 August,
2014MM09,2014 September,
2014KW03,2014 3rd quarter,
2014MM10,2014 October,
2014MM11,2014 November,
2014MM12,2014 December,
2014KW04,2014 4th quarter,
2014JJ00,2014,
2015MM01,2015 January,
2015MM02,2015 February,
2015MM03,2015 March,
2015KW01,2015 1st quarter,
2015MM04,2015 April,
2015MM05,2015 May,
2015MM06,2015 June,
2015KW02,2015 2nd quarter,
2015MM07,2015 July,
2015MM08,2015 August,
2015MM09,2015 September,
2015KW03,2015 3rd quarter,
2015MM10,2015 October,
2015MM11,2015 November,
2015MM12,2015 December,
2015KW04,2015 4th quarter,
2015JJ00,2015,
2016MM01,2016 January,
2016MM02,2016 February,
2016MM03,2016 March,
2016KW01,2016 1st quarter,
2016MM04,2016 April,
2016MM05,2016 May,
2016MM06,2016 June,
2016KW02,2016 2nd quarter,
2016MM07,2016 July,
2016MM08,2016 August,
2016MM09,2016 September,
2016KW03,2016 3rd quarter,
2016MM10,2016 October,
2016MM11,2016 November,
2016MM12,2016 December,
2016KW04,2016 4th quarter,
2016JJ00,2016,
2017MM01,2017 January,
2017MM02,2017 February,
2017MM03,2017 March,
2017KW01,2017 1st quarter,
2017MM04,2017 April,
2017MM05,2017 May,
2017MM06,2017 June,
2017KW02,2017 2nd quarter,
2017MM07,2017 July,
2017MM08,2017 August,
2017MM09,2017 September,
2017KW03,2017 3rd quarter,
2017MM10,2017 October,
2017MM11,2017 November,
2017MM12,2017 December,
2017KW04,2017 4th quarter,
2017JJ00,2017,
2018MM01,2018 January,
2018MM02,2018 February,
2018MM03,2018 March,
2018KW01,2018 1st quarter,
2018MM04,2018 April,
2018MM05,2018 May,
2018MM06,2018 June,
2018KW02,2018 2nd quarter,
2018MM07,2018 July,
2018MM08,2018 August,
2018MM09,2018 September,
2018KW03,2018 3rd quarter,
2018MM10,2018 October,
2018MM11,2018 November,
2018MM12,2018 December,
2018KW04,2018 4th quarter,
2018JJ00,2018,
2019MM01,2019 January,
2019MM02,2019 February,
2019MM03,2019 March,
2019KW01,2019 1st quarter,
2019MM04,2019 April,
2019MM05,2019 May,
2019MM06,2019 June,
2019KW02,2019 2nd quarter,
2019MM07,2019 July,
2019MM08,2019 August,
2019MM09,2019 September,
2019KW03,2019 3rd quarter,
2019MM10,2019 October,
2019MM11,2019 November,
2019MM12,2019 December,
2019KW04,2019 4th quarter,
2019JJ00,2019,
2020MM01,2020 January,
2020MM02,2020 February,
2020MM03,2020 March,
2020KW01,2020 1st quarter,
2020MM04,2020 April,
2020MM05,2020 May,
2020MM06,2020 June,
2020KW02,2020 2nd quarter,
2020MM07,2020 July,
2020MM08,2020 August,
2020MM09,2020 September,
2020KW03,2020 3rd quarter,
2020MM10,2020 October,
2020MM11,2020 November,
2020MM12,2020 December,
2020KW04,2020 4th quarter,
2020JJ00,2020,
2021MM01,2021 January,
2021MM02,2021 February,
2021MM03,2021 March,
2021KW01,2021 1st quarter,
2021MM04,2021 April,
2021MM05,2021 May,
2021MM06,2021 June,
2021KW02,2021 2nd quarter,
2021MM07,2021 July,
2021MM08,2021 August,
2021MM09,2021 September,
2021KW03,2021 3rd quarter,
2021MM10,2021 October,
2021MM11,2021 November,
2021MM12,2021 December,
2021KW04,2021 4th quarter,
2021JJ00,2021,
2022MM01,2022 January,Provisional figures
2022MM02,2022 February,Provisional figures
2022MM03,2022 March,Provisional figures
2022KW01,2022 1st quarter,Provisional figures
2022MM04,2022 April,Provisional figures
2022MM05,2022 May,Provisional figures
2022MM06,2022 June,Provisional figures
2022KW02,2022 2nd quarter,Provisional figures
2022MM07,2022 July,Provisional figures
2022MM08,2022 August,Provisional figures
2022MM09,2022 September,Provisional figures
2022KW03,2022 3rd quarter,Provisional figures
2022MM10,2022 October,Provisional figures
2022MM11,2022 November,Provisional figures
2022MM12,2022 December,Provisional figures
2022KW04,2022 4th quarter,Provisional figures
2022JJ00,2022,Provisional figures
2023MM01,2023 January,Provisional figures
2023MM02,2023 February,Provisional figures
2023MM03,2023 March,Provisional figures
2023KW01,2023 1st quarter,Provisional figures
2023MM04,2023 April,Provisional figures
2023MM05,2023 May,Provisional figures
2023MM06,2023 June,Provisional figures
2023KW02,2023 2nd quarter,Provisional figures
