ID,Position,ParentID,Type,Key,Title,Description,ReleasePolicy,Datatype,Unit,Decimals,Default
77,55,75,Topic,EUCountries_54,EU countries,"Cargo to and from airports in the European Union (EU),

As of Februari 2020 the European Union consits of the following countries:
Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain amd Sweden.

The figures of the United Kingdom are added to the figures of /""/Other Europe/""/,",,Double,ton,0,Zero
78,56,75,Topic,OtherEurope_55,Other Europe,,,Double,ton,0,Zero
79,,73,TopicGroup,,Intercontinental cargo,"Cargo transport to and from airports outside Europe, i.e. Africa,
America, Asia and Oceania. No detailed
information on Rotterdam Airport, Eindhoven Airport and Maastricht Aachen
Airport is available for the period 1997-1999. Hence, the total exceeds
the sum of the continents.",,,,,
80,57,79,Topic,TotalIntercontinentalCargo_56,Total intercontinental cargo,,,Double,ton,0,Zero
81,,79,TopicGroup,,Africa,The total weight of cargo transports by air to and from Africa.,,,,,
82,58,81,Topic,Africa_57,Africa,,,Double,ton,0,Zero
83,59,81,Topic,NorthAfrica_58,North Africa,,,Double,ton,0,Zero
84,60,81,Topic,WestAfrica_59,West Africa,,,Double,ton,0,Zero
85,61,81,Topic,CentralAfrica_60,Central Africa,,,Double,ton,0,Zero
86,62,81,Topic,EastAfrica_61,East Africa,,,Double,ton,0,Zero
87,63,81,Topic,SouthAfrica_62,South Africa,,,Double,ton,0,Zero
88,,79,TopicGroup,,America,The total weight of cargo transports by air to and from America.,,,,,
89,64,88,Topic,America_63,America,,,Double,ton,0,Zero
90,65,88,Topic,NorthAmerica_64,North America,,,Double,ton,0,Zero
91,66,88,Topic,CentralAmerica_65,Central America,,,Double,ton,0,Zero
92,67,88,Topic,SouthAmerica_66,South America,,,Double,ton,0,Zero
93,,79,TopicGroup,,Asia,The total weight of cargo transports by air to and from Asia.,,,,,
94,68,93,Topic,Asia_67,Asia,,,Double,ton,0,Zero
95,69,93,Topic,WestAsia_68,West Asia,,,Double,ton,0,Zero
96,70,93,Topic,SouthEastAsia_69,South-East Asia,,,Double,ton,0,Zero
97,71,93,Topic,NorthEastAsia_70,North-East Asia,,,Double,ton,0,Zero
98,72,79,Topic,Oceania_71,Oceania,,,Double,ton,0,Zero
99,73,79,Topic,OtherUnknown_72,Other/unknown,,,Double,ton,0,Zero
100,74,73,Topic,Unknown_73,Unknown,,,Double,ton,0,Zero
101,,5,TopicGroup,,Mail,"The total weight of mail in commercial air traffic, loaded and unloaded
at Dutch airports.",,,,,
102,,101,TopicGroup,,Total mail,"The total weight of mail in commercial air traffic, loaded and unloaded
at Dutch airports.",,,,,
103,75,102,Topic,TotalMail_74,Total mail,,,Double,ton,0,Zero
104,76,102,Topic,ScheduledMail_75,Scheduled mail,,,Double,ton,0,Zero
105,77,102,Topic,NonScheduledCargoMail_76,Non-scheduled cargo mail,,,Double,ton,0,Zero
106,,101,TopicGroup,,Unloaded mail,"The total weight of mail in commercial air traffic, unloaded at Dutch
airports.",,,,,
107,78,106,Topic,TotalUnloadedMail_77,Total unloaded mail,,,Double,ton,0,Zero
108,79,106,Topic,ScheduledMail_78,Scheduled mail,,,Double,ton,0,Zero
109,80,106,Topic,NonScheduledMail_79,Non-scheduled mail,,,Double,ton,0,Zero
110,,101,TopicGroup,,Loaded mail,"The total weight of mail in commercial air traffic, loaded at Dutch
airports.",,,,,
111,81,110,Topic,TotalLoadedMail_80,Total loaded mail,,,Double,ton,0,Zero
112,82,110,Topic,ScheduledMail_81,Scheduled mail,,,Double,ton,0,Zero
113,83,110,Topic,NonScheduledMail_82,Non-scheduled mail,,,Double,ton,0,Zero
114,,101,TopicGroup,,Country of origin/destination mail,"The weight of airlifted mail by country of origin and destination.
'Load sheets' provide information on the airports where mail is
loaded or unloaded.",,,,,
115,84,114,Topic,TotalCountryOfOriginDestination_83,Total country of origin/destination,,,Double,ton,0,Zero
116,,114,TopicGroup,,Europe mail,Mail transport to and from European airports.,,,,,
117,85,116,Topic,EuropeTotalMail_84,Europe total mail,,,Double,ton,0,Zero
118,86,116,Topic,EUCountries_85,EU countries,"Mail to and from airports in the European Union (EU),

As of Februari 2020 the European Union consits of the following countries:
Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain amd Sweden.

The figures of the United Kingdom are added to the figures of /""/Other Europe/""/,",,Double,ton,0,Zero
119,87,116,Topic,OtherEurope_86,Other Europe,,,Double,ton,0,Zero
120,,114,TopicGroup,,Intercontinental mail,"Mail transport to and from airports outside Europe, i.e. Africa,
America, Asia and Oceania.",,,,,
121,88,120,Topic,TotalIntercontinentalMail_87,Total intercontinental mail,,,Double,ton,0,Zero
122,,120,TopicGroup,,Africa,The total weight of mail transports by air to and from Africa.,,,,,
123,89,122,Topic,Africa_88,Africa,,,Double,ton,0,Zero
124,90,122,Topic,NorthAfrica_89,North Africa,,,Double,ton,0,Zero
125,91,122,Topic,WestAfrica_90,West Africa,,,Double,ton,0,Zero
126,92,122,Topic,CentralAfrica_91,Central Africa,,,Double,ton,0,Zero
127,93,122,Topic,EastAfrica_92,East Africa,,,Double,ton,0,Zero
128,94,122,Topic,SouthAfrica_93,South Africa,,,Double,ton,0,Zero
129,,120,TopicGroup,,America,The total weight of mail transports by air to and from America.,,,,,
130,95,129,Topic,America_94,America,,,Double,ton,0,Zero
131,96,129,Topic,NorthAmerica_95,North America,,,Double,ton,0,Zero
132,97,129,Topic,CentralAmerica_96,Central America,,,Double,ton,0,Zero
133,98,129,Topic,SouthAmerica_97,South America,,,Double,ton,0,Zero
134,,120,TopicGroup,,Asia,The total weight of mail transports by air to and from Asia.,,,,,
135,99,134,Topic,Asia_98,Asia,,,Double,ton,0,Zero
136,100,134,Topic,WestAsia_99,West Asia,,,Double,ton,0,Zero
137,101,134,Topic,SouthEastAsia_100,South-East Asia,,,Double,ton,0,Zero
138,102,134,Topic,NorthEastAsia_101,North-East Asia,,,Double,ton,0,Zero
139,103,120,Topic,Oceania_102,Oceania,,,Double,ton,0,Zero
